account,text,link,timestamp
@USGunIncidents,"Rockford, Illinois - Killed: 0, Injured: 0  https://t.co/TUE48vh1iM",http://twitter.com/USGunIncidents/status/790274678661218304,"October 23, 2016 at 02:32PM"
@USGunIncidents,"Rockford, Illinois - Killed: 0, Injured: 1  https://t.co/1FK97GlyBA",http://twitter.com/USGunIncidents/status/790293053902913538,"October 23, 2016 at 03:45PM"
@USGunIncidents,"Bergen, New York - Killed: 0, Injured: 1  https://t.co/U7kq49hhGO",http://twitter.com/USGunIncidents/status/790311425327718400,"October 23, 2016 at 04:58PM"
@USGunIncidents,"Mobile, Alabama - Killed: 1, Injured: 0  https://t.co/t48L3YyOHE",http://twitter.com/USGunIncidents/status/790313434952982529,"October 23, 2016 at 05:06PM"
@USGunIncidents,"Enfield, Connecticut - Killed: 0, Injured: 1  https://t.co/UL1JZXBVTc",http://twitter.com/USGunIncidents/status/790330802240454656,"October 23, 2016 at 06:15PM"
@USGunIncidents,"Columbus, Ohio - Killed: 0, Injured: 1  https://t.co/mxcTclS71V",http://twitter.com/USGunIncidents/status/790346149710487552,"October 23, 2016 at 07:16PM"
@USGunIncidents,"Los Angeles (Echo Park), California - Killed: 0, Injured: 1  https://t.co/RI5oCR8qOJ",http://twitter.com/USGunIncidents/status/790364777201725440,"October 23, 2016 at 08:30PM"
@USGunIncidents,"Lansing, Michigan - Killed: 0, Injured: 1  https://t.co/8XpyDqDg87",http://twitter.com/USGunIncidents/status/790370308930801664,"October 23, 2016 at 08:52PM"
@USGunIncidents,"Reno, Nevada - Killed: 1, Injured: 2  https://t.co/mAet2Teo0p",http://twitter.com/USGunIncidents/status/790398751680659456,"October 23, 2016 at 10:45PM"
@USGunIncidents,"Boston, Massachusetts - Killed: 1, Injured: 0  https://t.co/OmEIx8EvgJ",http://twitter.com/USGunIncidents/status/790466700009414656,"October 24, 2016 at 03:15AM"
@USGunIncidents,"Atlanta, Georgia - Killed: 0, Injured: 1  http://www.gunviolencearchive.org/incident/682388",http://twitter.com/USGunIncidents/status/790466700009414656,"October 24, 2016 at 03:15AM"
@USGunIncidents,"Jonesboro, Georgia - Killed: 2, Injured: 0  http://www.gunviolencearchive.org/incident/681809",http://twitter.com/USGunIncidents/status/790466700009414656,"October 22, 2016 at 03:15AM"
